C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.3,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.5,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 0.7,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0,C = 0.1     λ = 1.0
N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000,N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000,N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000,N = 10,N = 20,N = 50,N = 100,N = 200,N = 500,N = 1000,N = 2000,N = 5000
65,90,369,725,2402,13025,22698,22525,22600,122,178,610,1746,6697,22601,22562,22581,22570,100,250,842,3037,11925,22612,22685,22525,22536,148,340,1469,5634,21281,22756,22580,22529,22562
50,121,241,725,2210,14645,22525,22658,22634,73,170,541,1805,6165,22698,22672,22562,22570,109,221,1088,3505,12818,22525,22525,22664,22570,144,370,1544,5690,22525,22504,22601,22688,22564
68,85,373,785,1864,13725,22562,22730,22625,90,185,577,1765,6436,22573,22549,22565,22564,148,241,962,3508,11588,22756,22777,22516,22633,148,360,1685,5625,21908,22725,22685,22562,22562
53,82,410,986,1825,13725,22514,22562,22634,90,160,580,1697,6280,22608,22608,22681,22522,117,221,954,3545,10642,22509,22633,22541,22529,169,377,1697,5554,21512,22601,22730,22600,22621
68,100,377,1033,2578,13312,22608,22522,22562,73,180,650,1717,6120,22585,22644,22765,22525,145,260,890,3217,11434,22516,22536,22642,22516,145,404,1625,5785,21673,22725,22688,22600,22685
58,121,369,962,2250,14265,22600,22509,22741,68,169,565,1696,6317,22516,22789,22536,22600,144,256,1044,2777,10361,22761,22621,22690,22685,148,404,1690,5626,21645,22570,22756,22696,22600
65,113,361,833,2665,13204,22706,22725,22501,82,130,578,1940,6170,22625,22581,22504,22672,116,260,916,3373,11072,22581,22725,22642,22696,148,361,1636,6154,21121,22581,22509,22601,22581
68,125,362,754,2401,13085,22525,22589,22765,68,170,580,1985,6065,22580,22541,22625,22585,89,265,964,3530,11981,22570,22585,22601,22562,130,365,1658,5557,21658,22600,22730,22562,22580
58,104,353,793,2482,12725,22633,22658,22580,85,160,593,1825,6066,22570,22585,22525,22669,144,234,1025,3037,11188,22581,22580,22562,22658,145,333,1690,5618,21533,22633,22562,22564,22529
50,89,292,692,2665,13073,22529,22580,22709,74,200,650,1732,6245,22608,22522,22601,22562,125,241,932,3314,10865,22509,22633,22536,22756,148,377,1697,5540,21753,22525,22525,22549,22688
49,101,245,884,2797,13850,22580,22658,22658,97,202,545,1865,6098,22570,22685,22600,22644,97,260,922,2853,11674,22592,22585,22525,22562,144,340,1557,5341,21908,22633,22525,22536,22525
74,104,269,820,2665,12181,22525,22628,22570,82,208,793,1873,5840,22685,22541,22608,22730,125,256,976,3602,11188,22777,22613,22529,22644,145,373,1421,5480,21466,22509,22601,22633,22564
53,101,346,954,2610,12905,22690,22562,22592,73,153,629,1744,4949,22628,22633,22644,22688,109,234,1025,3305,11188,22688,22669,22570,22501,148,365,1585,5825,21925,22525,22600,22536,22501
65,136,353,797,2857,13169,22612,22601,22697,100,180,625,2213,6781,22600,22601,22525,22698,113,250,985,3393,11401,22669,22736,22504,22585,153,340,1780,5634,21658,22725,22601,22564,22525
58,100,320,981,2930,12017,22664,22562,22529,68,181,505,1825,6152,22685,22529,22525,22765,90,250,905,2916,11570,22685,22529,22721,22544,148,365,1565,6205,21220,22789,22509,22529,22756
58,116,241,845,2440,12209,22608,22725,22753,74,169,650,1773,6322,22546,22625,22601,22565,122,260,904,3373,12356,22698,22633,22509,22613,153,340,1636,5965,22525,22581,22745,22633,22504
58,116,333,848,3330,11849,22516,22585,22634,97,109,612,2056,5290,22696,22525,22601,22745,90,272,1000,3085,11041,22580,22525,22696,22509,125,349,1685,5473,21613,22525,22580,22501,22529
50,100,277,802,2473,12913,22565,22516,22644,89,169,785,2000,6266,22765,22753,22698,22565,101,260,936,3145,11194,22589,22753,22688,22642,148,340,1642,5930,21908,22664,22633,22633,22564
65,125,202,676,2522,12205,22562,22625,22529,74,200,634,1845,5525,22601,22601,22580,22525,121,250,904,3050,12101,22589,22525,22514,22730,145,333,1493,6088,21613,22564,22536,22562,22562
61,130,265,810,2320,13885,22562,22529,22514,58,170,585,1810,6201,22570,22570,22541,22562,104,234,1013,3341,12321,22698,22525,22544,22509,137,362,1697,5857,21512,22621,22536,22621,22516
61,65,234,901,2804,14681,22525,22562,22698,72,153,650,1970,6673,22621,22698,22601,22681,104,229,932,3060,11668,22564,22601,22529,22777,148,340,1745,6001,21677,22601,22633,22633,22600
53,89,221,1010,2420,12304,22522,22585,22600,82,178,557,1808,7120,22625,22698,22501,22753,101,212,964,3236,11432,22509,22664,22669,22642,169,305,1773,5576,21645,22581,22516,22685,22504
65,125,265,881,2845,13753,22589,22685,22592,68,136,545,1960,5393,22600,22562,22504,22565,109,241,1138,3185,11602,22642,22509,22612,22529,153,305,1546,6133,22472,22504,22529,22581,22730
50,90,234,706,3061,13088,22525,22642,22698,68,221,626,1945,5989,22765,22633,22644,22580,125,241,1053,3200,12301,22685,22717,22714,22585,148,340,1681,5525,21460,22581,22562,22525,22516
52,90,226,730,2885,13546,22525,22525,22525,100,130,673,1585,6773,22570,22698,22585,22601,100,257,1069,3221,11405,22681,22509,22580,22669,148,401,1853,5954,21437,22644,22525,22525,22536
58,90,272,1018,2612,8650,22644,22580,22706,73,208,538,1773,5597,22685,22601,22664,22592,104,197,905,3301,10701,22688,22580,22525,22544,145,333,1636,5938,21541,22756,22504,22536,22564
61,85,370,584,2549,12745,22562,22589,22625,90,137,657,1690,5913,22621,22601,22741,22562,106,245,884,2770,11497,22637,22536,22730,22725,125,360,1530,5945,21221,22745,22501,22600,22725
61,82,333,977,2617,12680,22562,22546,22509,82,197,565,1594,7069,22525,22600,22546,22525,101,229,1181,3370,11509,22730,22562,22669,22529,153,349,1570,5812,22050,22685,22536,22501,22669
65,100,250,725,2165,14841,22625,22612,22529,90,173,533,1810,6373,22585,22644,22525,22600,90,245,905,2925,11764,22525,22525,22541,22509,145,377,1690,6010,21645,22725,22525,22501,22580
73,89,289,802,2525,13549,22522,22504,22644,73,164,521,1685,6824,22546,22613,22585,22573,97,260,928,3265,11034,22525,22589,22525,22525,130,370,1682,5492,21898,22504,22525,22696,22642
65,117,281,820,2404,11773,22601,22592,22514,73,197,500,1985,5800,22570,22509,22637,22745,104,250,1069,3089,11466,22514,22565,22628,22525,137,365,1706,5540,21341,22625,22581,22536,22669
58,100,269,810,2938,12517,22613,22525,22625,74,180,520,1586,5661,22529,22688,22738,22601,104,232,997,3305,11125,22570,22564,22509,22546,145,365,1664,5825,22370,22562,22525,22536,22642
58,146,314,904,2665,13221,22664,22565,22664,106,164,626,1700,5602,22565,22581,22525,22585,117,257,922,3445,10961,22504,22525,22529,22642,145,370,1604,5837,21805,22789,22525,22562,22789
41,85,338,657,2529,14065,22625,22613,22761,81,178,533,1810,6409,22765,22698,22698,22570,137,260,928,3060,11332,22730,22709,22570,22637,122,349,1530,5650,22525,22536,22562,22789,22525
74,113,313,788,1684,12105,22525,22698,22504,101,169,541,1997,6980,22592,22685,22504,22509,104,241,981,3425,11225,22621,22600,22529,22549,148,340,1525,5557,22322,22501,22509,22600,22601
58,85,305,936,2402,9893,22681,22570,22612,101,170,685,1828,5876,22501,22501,22714,22501,97,257,965,3341,11906,22698,22581,22580,22580,145,365,1730,5792,21625,22504,22509,22509,22525
