C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
797,117,5000,2610,5000,4901,3770,325,5000,4517,4901,5000,4181,65,5000,2501,4901,5000,4082,157,5000,4901,5000,4901,5000,180,4901,1189,5000,1853,2600,137,4021,549,4804,1025,1076,185,1373,169,1493,296,241,101,362,82,360,125,100,65,148,52,153,45
4181,205,5000,3092,5000,4901,4264,116,5000,1594,5000,4901,724,2056,5000,905,5000,4901,3973,109,5000,4145,4901,4901,4264,153,4901,1885,5000,2466,2725,125,4240,634,4709,761,1250,233,1346,202,1604,292,260,74,340,65,362,121,125,45,137,73,130,50
4705,170,5000,2377,5000,5000,4901,81,5000,3589,5000,5000,4705,409,5000,2465,5000,4901,3673,296,4709,1066,5000,5000,4001,772,5000,1690,5000,2837,2545,205,4250,629,4901,785,1145,162,1448,370,1625,400,314,82,365,81,370,101,125,41,130,52,122,52
289,468,5000,196,4901,4901,4901,629,5000,3077,5000,4901,4610,130,5000,136,5000,5000,5000,169,4901,557,5000,4901,3965,680,4901,1261,5000,2125,2152,416,4517,605,4804,881,1010,181,1405,170,1585,260,293,109,298,89,328,104,125,41,137,74,145,53
4901,45,4901,458,5000,4901,4436,40,4901,1733,5000,5000,5000,277,4901,1013,5000,5000,3546,200,4901,1664,5000,5000,3845,121,5000,962,5000,2725,3125,101,4100,641,4616,900,1117,250,1300,265,1616,221,328,68,362,90,328,68,144,53,145,40,145,58
3362,333,5000,794,5000,5000,4165,82,5000,1090,5000,4901,4901,229,5000,2900,5000,4901,4525,160,5000,2468,5000,5000,3328,178,5000,909,5000,2545,4165,53,3825,197,4705,584,793,197,1444,225,1649,293,292,68,377,113,362,100,145,53,148,45,160,82
1810,370,5000,2650,5000,5000,5000,629,4804,1301,5000,5000,4610,433,4901,4145,5000,4901,3285,173,4901,1492,5000,4901,4181,369,4901,1370,5000,2273,2440,221,3944,442,4901,853,1168,65,1300,244,1706,298,292,68,333,58,365,101,125,53,130,52,148,65
5000,250,5000,4705,5000,4901,4616,436,4802,650,5000,4901,5000,225,4901,977,5000,4901,4610,928,5000,2216,5000,5000,4804,1429,4901,468,5000,2536,3033,500,4264,680,4802,680,1010,61,1453,274,1604,313,241,81,365,68,340,80,116,58,137,68,153,45
4250,386,5000,481,5000,4802,5000,193,5000,1321,5000,5000,3076,333,5000,2669,5000,4901,4802,577,5000,3469,5000,4804,3341,170,5000,1258,5000,2210,4153,149,4001,545,4802,800,1073,153,1492,293,1765,442,233,73,340,104,401,122,125,52,122,52,145,50
4240,180,5000,3050,4901,4901,3869,73,5000,3944,5000,5000,5000,109,5000,1189,5000,4802,3700,117,4901,3700,5000,5000,4901,296,4901,1300,4901,2788,3050,104,4082,292,4608,961,1076,109,1493,272,1546,298,234,109,325,53,400,122,128,45,117,68,125,65
1693,80,5000,2900,5000,5000,4610,109,5000,981,5000,5000,4901,610,5000,2026,5000,4901,4264,193,5000,601,5000,5000,2426,289,4901,1096,5000,2597,3626,410,4153,449,4616,765,1061,153,1412,281,1604,245,333,109,320,74,416,104,125,40,130,53,160,97
5000,109,4901,842,5000,4901,3530,50,5000,3125,4901,4901,1117,425,4804,4082,5000,5000,4901,520,5000,2836,5000,5000,4436,340,5000,1345,5000,2125,3076,241,4264,580,4901,953,1341,113,1465,290,1493,274,370,85,289,89,370,106,100,50,130,50,145,52
4436,80,5000,1508,5000,4901,4901,85,4901,370,5000,5000,3272,109,4901,3845,5000,4901,2440,745,4901,2196,5000,4901,4705,362,4901,1354,5000,2234,3281,125,3869,392,4901,1028,809,148,1250,261,1636,226,305,125,288,97,314,106,101,82,145,52,146,58
