C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3,C = 0.2 lambd = 1,C = 0.2 lambd = 0.3,C = 0.15 lambd = 1,C = 0.15 lambd = 0.3,C = 0.1 lambd = 1,C = 0.1 lambd = 0.3
4705,586,4901,2930,5000,4802,3697,293,4901,1450,5000,5000,5000,697,5000,1489,4901,4901,4804,701,5000,2897,4901,4802,3845,277,5000,962,5000,2581,2285,481,4234,801,5000,1394,1224,292,1744,325,1800,397,370,145,450,149,577,250,200,162,205,125,293,130
4525,404,5000,1289,5000,5000,4901,593,5000,461,5000,5000,4901,445,4901,449,5000,5000,4610,212,5000,821,5000,4802,5000,250,4804,1864,5000,3365,2549,281,4616,765,4901,1105,1345,272,1445,401,1952,333,346,153,445,137,533,178,386,100,229,130,400,289
4901,340,5000,3176,5000,5000,4349,145,5000,929,5000,5000,3944,657,4901,338,5000,5000,4901,317,5000,4705,5000,4804,5000,370,5000,1053,5000,2664,3328,289,4804,841,4901,1250,1681,325,1609,289,2320,449,493,146,445,148,488,170,221,101,221,153,229,169
4426,445,5000,2465,5000,4901,2600,545,4901,505,5000,4901,4436,425,5000,1098,4901,5000,4082,490,5000,1028,5000,5000,4001,458,5000,1818,5000,2609,3305,170,4082,709,4901,890,1469,306,1549,416,2041,565,377,125,701,130,500,185,200,101,401,146,205,170
3185,265,5000,2669,5000,4901,1037,260,5000,477,5000,4901,3985,289,4901,2762,5000,4901,3922,1053,4901,850,5000,4901,4100,692,5000,449,5000,2756,2437,449,4058,898,5000,928,1370,185,1609,328,1972,370,457,160,500,185,405,205,250,100,292,125,229,145
4804,289,5000,1028,5000,5000,4250,493,5000,360,5000,5000,3076,333,5000,2801,5000,5000,4901,468,5000,2593,5000,4901,4705,629,4901,360,5000,2745,3625,445,4802,1189,5000,1090,1492,157,2036,416,2152,457,340,104,436,250,538,149,293,145,260,125,229,104
4709,340,5000,389,5000,4901,4901,709,5000,3845,5000,5000,5000,314,4901,1602,5000,5000,2725,226,5000,2029,5000,5000,3869,818,4901,468,5000,2873,2473,340,4517,617,4901,949,1417,293,1538,360,1768,346,356,148,676,173,785,234,180,121,234,122,256,122
5000,212,4901,3530,5000,5000,3869,409,5000,725,5000,5000,2725,346,5000,2644,5000,4901,3809,520,5000,3626,5000,4901,3922,170,4901,1465,5000,2644,2789,578,4608,1066,4901,754,925,257,1565,281,1765,425,370,178,530,178,450,170,173,169,256,109,265,257
4804,306,5000,2938,4901,5000,3589,580,5000,4250,4901,5000,4181,424,4901,2570,4901,5000,4021,656,5000,666,4901,5000,4901,481,5000,709,5000,2504,2512,488,4001,701,4901,1280,1109,125,1640,685,2225,373,353,212,425,170,490,145,200,130,205,148,205,170
689,477,4901,1493,5000,4901,4901,305,5000,2824,5000,5000,4901,730,5000,5000,5000,4901,4436,225,5000,1217,5000,4901,4901,530,5000,1306,5000,2993,3185,305,4705,697,5000,928,1345,320,1609,425,2089,442,509,205,650,229,481,145,205,104,290,109,272,128
